,runID,evtID,S2_area,S2_btm_area,S2_top_area,S2_TBA,S2_corrected_area,S2_XY_corrected_area,S2_width_ns,S2_peakAmp,S2_AFT_5,S2_AFT_10,S2_AFT_25,S2_AFT_50,S2_AFT_75,S2_AFT_90,S2_AFT_95,S2_rmsWidth_ns,S2_fwhm_ns,S2_x_cm,S2_y_cm,S2_xy_chiSq,S2_n_saturated,has_good_S1,drift_time,S1_area,S1_corrected_area,evt_total_area,evt_bad_area,evt_bad_e_area,evt_bad_ph_area,evt_bad_oth_area
448,6966,53855,260.0,1048.3846435546875,2966.375732421875,0.47773489356040955,4453.95458984375,0.15545383095741272,5530.0,2.9216461181640625,1540.0,1780.0,2160.0,2590.0,3030.0,3420.0,3730.0,509.0,1330.0,16.24376678466797,-37.17335891723633,1.2219592332839966,0.0,True,41790.0,117.05583953857422,126.95194244384766,4924.775026649237,793.0131324231625,4585.803131103516,218.9523967206478,2.9636592864990234
453,6966,53893,128.0,899.7263793945312,2712.935302734375,0.5019038915634155,3661.266357421875,0.12719884514808655,4370.0,2.4430949687957764,1140.0,1400.0,1790.0,2280.0,2770.0,3160.0,3420.0,553.0,1590.0,5.249146938323975,-12.776286125183105,1.573895812034607,0.0,True,51570.0,74.73361206054688,79.04249572753906,4207.060107767582,519.7298160195351,4011.0021629333496,108.9022906422615,12.42204213142395
583,6966,54941,180.0,581.974853515625,1741.31982421875,0.49900901317596436,2422.899658203125,0.08479958027601242,4850.0,1.483317255973816,930.0,1250.0,1680.0,2190.0,2660.0,3160.0,3500.0,588.0,1510.0,-18.06421661376953,27.4746150970459,1.4107507467269897,0.0,True,55270.0,46.1389274597168,48.90391159057617,2658.3480321764946,289.1099836230278,2456.8118171691895,155.3601548075676,0.03713274002075195
615,6946,57616,229.0,1128.0233154296875,3628.678955078125,0.5257120728492737,5112.5224609375,0.18440677225589752,5400.0,2.9645326137542725,1130.0,1410.0,1840.0,2350.0,2830.0,3310.0,3590.0,584.0,1620.0,13.054976463317871,43.1240119934082,1.4425790309906006,0.0,True,53640.0,94.10591888427734,101.84194946289062,5452.878198236227,602.0100723206997,4906.716960906982,447.02428302168846,5.031035423278809
1604,7066,120981,92.0,515.3483276367188,1353.6572265625,0.4485320448875427,2040.432373046875,0.06943172961473465,3310.0,1.4140187501907349,1000.0,1230.0,1590.0,1980.0,2380.0,2650.0,2820.0,445.0,1330.0,-31.795555114746094,-26.749677658081055,1.4832394123077393,0.0,True,40900.00390625,31.073963165283203,33.114078521728516,2228.1265155673027,327.7832652926445,2120.5476837158203,76.50486868619919,0.0
1661,7066,121398,150.0,1264.1475830078125,3568.71923828125,0.47685399651527405,5289.6513671875,0.18673822283744812,4140.0,3.6452009677886963,970.0,1170.0,1490.0,1870.0,2270.0,2650.0,2870.0,460.0,1320.0,-37.09797286987305,-31.79039192199707,1.1676173210144043,0.0,True,34840.0,131.55113220214844,140.70204162597656,5758.853971868753,794.555281072855,5497.68669128418,117.12534943223,12.490798950195312
2188,6945,118219,206.0,1226.3095703125,3563.81494140625,0.4879842698574066,4926.10107421875,0.17102840542793274,4810.0,2.832550048828125,1020.0,1300.0,1750.0,2250.0,2780.0,3180.0,3470.0,591.0,1810.0,2.1967484951019287,-0.2701423168182373,1.5552080869674683,0.0,True,55110.0,207.08078002929688,219.23451232910156,5456.611065596342,459.5986449420452,5014.79358291626,185.01128301024437,49.72541964054108
2445,7023,97918,355.0,986.6151123046875,2738.3154296875,0.47026386857032776,4062.214599609375,0.1452498733997345,5280.0,2.420548915863037,1110.0,1420.0,1880.0,2360.0,2820.0,3260.0,3580.0,563.0,1610.0,23.935306549072266,6.509650707244873,1.7221037149429321,0.0,True,56360.0,153.31185913085938,165.119140625,4559.3959174752235,681.5064216256142,4090.5769653320312,306.1952413916588,9.311851620674133
2564,7023,98841,121.0,1147.547607421875,3424.85107421875,0.49805447459220886,4914.1875,0.17380046844482422,4350.0,3.475217342376709,1460.0,1650.0,2040.0,2460.0,2860.0,3240.0,3510.0,487.0,1330.0,27.76871681213379,12.0823335647583,1.3838828802108765,0.0,True,42370.0,125.05616760253906,133.39942932128906,5079.1398876309395,381.7497356534004,4847.747577667236,100.8153446316719,5.5207977294921875
2904,7057,116746,385.0,734.9750366210938,2277.32470703125,0.5120173096656799,3355.11962890625,0.11808159947395325,4710.0,2.1259000301361084,880.0,1080.0,1450.0,1980.0,2410.0,2850.0,3110.0,546.0,1420.0,-0.3264601230621338,-47.10504913330078,1.2024641036987305,0.0,True,54819.99609375,127.85533905029297,139.8839569091797,3736.7949193269014,596.8165334016085,3256.1708374023438,335.0594095736742,17.709333300590515
