,runID,evtID,S2_area,S2_btm_area,S2_top_area,S2_TBA,S2_corrected_area,S2_XY_corrected_area,S2_width_ns,S2_peakAmp,S2_AFT_5,S2_AFT_10,S2_AFT_25,S2_AFT_50,S2_AFT_75,S2_AFT_90,S2_AFT_95,S2_rmsWidth_ns,S2_fwhm_ns,S2_x_cm,S2_y_cm,S2_xy_chiSq,S2_n_saturated,has_good_S1,drift_time,S1_area,S1_corrected_area,evt_total_area,evt_bad_area,evt_bad_e_area,evt_bad_ph_area,evt_bad_oth_area
223,7055,51963,394.0,1320.822265625,3839.93896484375,0.4881289005279541,5620.4130859375,0.19890668988227844,4020.0,4.011323928833008,1290.0,1490.0,1810.0,2190.0,2570.0,2930.0,3160.0,446.0,1350.0,34.988502502441406,4.863773345947266,1.2468053102493286,0.0,True,28990.0,119.54595947265625,127.71675872802734,6211.472165107727,931.2440767288208,5737.510478973389,344.7509282529354,9.66479840874672
329,6966,52997,208.0,695.7772827148438,1831.64990234375,0.44941848516464233,2669.251953125,0.09221546351909637,4430.0,2.1464149951934814,1160.0,1300.0,1620.0,2010.0,2370.0,2740.0,2970.0,437.0,1320.0,11.332340240478516,-18.972980499267578,1.3141486644744873,0.0,True,28080.001953125,36.11065673828125,37.18597412109375,3009.6382913589478,455.6525869369507,2790.784942626953,192.26217555999756,0.0
854,6946,59847,98.0,824.73681640625,2524.86865234375,0.5075618028640747,3803.585205078125,0.13643576204776764,5000.0,3.2763142585754395,1080.0,1220.0,1460.0,1760.0,2050.0,2310.0,2470.0,341.0,1030.0,35.413143157958984,-26.072507858276367,1.6520510911941528,0.0,True,14770.0,72.96395874023438,78.33421325683594,3744.816047936678,322.51395443081856,3584.8796043395996,86.97248485684395,0.0
1575,7066,120711,96.0,572.4270629882812,1671.23876953125,0.4897395074367523,2408.21630859375,0.08514073491096497,2470.0,2.5472466945648193,670.0,770.0,950.0,1230.0,1490.0,1740.0,1900.0,304.0,870.0,-5.740076541900635,-41.9447021484375,1.266831398010254,0.0,True,13450.0,51.24174499511719,54.153934478759766,2620.520471185446,325.4112945497036,2456.0845832824707,97.8018089234829,15.392333984375
1583,7066,120832,120.0,1725.2950439453125,3788.043212890625,0.3741377592086792,5675.30078125,0.1789560317993164,3090.0,4.456543922424316,480.0,580.0,800.0,1150.0,1490.0,1700.0,1820.0,364.0,1290.0,-4.648233413696289,30.18338394165039,1.4674030542373657,0.0,True,2450.0,4.015064239501953,4.352151870727539,6349.014138668776,832.7119650542736,6235.186340332031,90.25267550349236,19.56005859375
1655,7066,121344,219.0,818.7909545898438,2440.025634765625,0.4974918067455292,3759.99609375,0.1320219337940216,3910.0,2.879883050918579,700.0,850.0,1150.0,1470.0,1820.0,2110.0,2300.0,393.0,1160.0,43.13091278076172,31.835886001586914,1.944498896598816,0.0,True,27810.0,96.45677185058594,104.20912170410156,3665.483456045389,313.05964317917824,3356.655002593994,203.8609588444233,8.510722756385803
2046,6978,119556,141.0,624.8609619140625,2069.451904296875,0.5361630320549011,3109.89599609375,0.11344248056411743,3640.0,2.992241859436035,820.0,950.0,1200.0,1460.0,1720.0,1970.0,2130.0,313.0,920.0,-47.309234619140625,19.774276733398438,1.4096890687942505,0.0,True,14580.0,61.53709411621094,66.07518768310547,3378.596408903599,622.6679573655128,3194.5092811584473,119.25720030069351,3.2928333282470703
2098,6978,119997,101.0,922.5315551757812,2121.1640625,0.3938083052635193,3422.859375,0.10491479188203812,4240.0,2.447915554046631,420.0,510.0,760.0,1140.0,1510.0,2070.0,2770.0,493.0,1270.0,29.56053924560547,-29.43581771850586,11.099660873413086,0.0,True,1349.9998779296875,14.21254825592041,15.24685287475586,3428.424482613802,370.29298904538155,3336.7026901245117,77.50924423336983,0.0
2331,6945,119469,208.0,824.8898315429688,2443.715087890625,0.49526485800743103,3249.48583984375,0.11547967791557312,4190.0,3.458280324935913,790.0,920.0,1160.0,1420.0,1690.0,1950.0,2130.0,321.0,920.0,-11.051655769348145,-5.874748229980469,1.494476318359375,0.0,True,14010.0,69.02550506591797,71.83287048339844,3952.5598905086517,615.6830670833588,3716.1024055480957,167.40022385120392,0.031756043434143066
2818,7057,116094,332.0,1276.7464599609375,3709.108154296875,0.487852543592453,5248.8349609375,0.18485206365585327,2970.0,7.509344577789307,870.0,950.0,1090.0,1270.0,1460.0,1640.0,1760.0,216.0,630.0,-30.906068801879883,-1.5126687288284302,1.5296902656555176,0.0,True,2399.999755859375,141.8076171875,147.95594787597656,6141.523568898439,1014.0103853046894,5720.369415283203,273.8736439049244,5.47289252281189
