,runID,evtID,S2_area,S2_btm_area,S2_top_area,S2_TBA,S2_corrected_area,S2_XY_corrected_area,S2_width_ns,S2_peakAmp,S2_AFT_5,S2_AFT_10,S2_AFT_25,S2_AFT_50,S2_AFT_75,S2_AFT_90,S2_AFT_95,S2_rmsWidth_ns,S2_fwhm_ns,S2_x_cm,S2_y_cm,S2_xy_chiSq,S2_n_saturated,has_good_S1,drift_time,S1_area,S1_corrected_area,evt_total_area,evt_bad_area,evt_bad_e_area,evt_bad_ph_area,evt_bad_oth_area
443,8155,21688,82.0,340.8515625,937.6435546875,0.4667925536632538,1292.567138671875,0.04385332763195038,4370.0,0.866048276424408,1000.0,1250.0,1670.0,2100.0,2570.0,3020.0,3260.0,541.0,1460.0,-6.031649589538574,10.536972045898438,1.3537403345108032,0.0,True,54800.00390625,39.39018630981445,41.57933044433594,1516.1502331793308,198.39945116639137,1389.2131004333496,87.54694643616676,0.0
481,8155,22060,323.0,1101.885009765625,3308.477783203125,0.5003200173377991,4893.16748046875,0.17565691471099854,4940.0,2.8420393466949463,960.0,1200.0,1590.0,2060.0,2540.0,2970.0,3230.0,548.0,1490.0,10.202388763427734,-41.11599349975586,1.505530834197998,0.0,True,51740.0,81.64451599121094,88.68012237548828,4956.226372718811,464.3147668838501,4572.563407897949,285.8110897541046,16.207359075546265
931,8144,58420,94.0,371.5245056152344,1222.47900390625,0.5338472723960876,1837.8175048828125,0.06758137792348862,4510.0,1.085157036781311,1410.0,1660.0,2100.0,2540.0,3000.0,3390.0,3640.0,536.0,1590.0,-1.2524194717407227,-51.194889068603516,2.293001174926758,0.0,True,54240.0,40.26405334472656,44.34428024291992,1878.8128097429872,244.2290542498231,1742.5281372070312,91.10511672496796,4.915502466261387
1149,8145,22725,132.0,1285.7691650390625,3732.035888671875,0.48751726746559143,5207.15869140625,0.1828160136938095,5120.0,2.9610040187835693,1300.0,1640.0,2110.0,2690.0,3230.0,3690.0,3980.0,643.0,1790.0,10.92150592803955,13.626712799072266,1.4656734466552734,0.0,True,51240.0,160.77304077148438,170.42076110839844,5616.649194404483,438.10173957049847,5308.424011230469,128.29412047564983,19.158021926879883
2216,8155,126793,92.0,172.55819702148438,538.3040161132812,0.5145101547241211,728.6007690429688,0.026106107980012894,4460.0,0.6361207962036133,770.0,1010.0,1550.0,1990.0,2420.0,2800.0,3180.0,541.0,1760.0,-14.995858192443848,14.64134693145752,2.103966474533081,0.0,True,55050.0,38.47179412841797,40.42701721191406,828.3760965466499,78.63477116823196,711.26953125,78.63477116823196,0.0
2608,8139,30365,155.0,850.92919921875,2221.44384765625,0.446076899766922,3393.513671875,0.11908542364835739,4220.0,2.124716281890869,840.0,1150.0,1550.0,2030.0,2500.0,2910.0,3110.0,549.0,1400.0,16.054412841796875,-20.14986801147461,1.348471999168396,0.0,True,51389.99609375,45.17094421386719,48.47972106933594,3876.7756453454494,758.9340468347073,3685.448257446289,130.485375136137,15.671068549156189
2901,8143,12836,63.0,55.13501739501953,153.09579467773438,0.4704432487487793,209.35345458984375,0.007098427973687649,4200.0,0.2113965004682541,690.0,850.0,1330.0,2000.0,2520.0,3090.0,3550.0,682.0,1820.0,-7.34089994430542,-22.47783088684082,1.0566484928131104,0.0,True,55930.0,27.92245101928711,29.735584259033203,294.3598118722439,58.46159180998802,207.97576904296875,58.46159180998802,0.0
2905,8143,12895,104.0,247.17123413085938,585.4439086914062,0.4062773585319519,1009.4025268554688,0.0370573066174984,5770.0,0.5510349869728088,1420.0,1670.0,2150.0,2780.0,3370.0,3870.0,4230.0,686.0,2020.0,29.667919158935547,-9.368403434753418,1.078743815422058,0.0,True,56690.0,15.100724220275879,16.613224029541016,980.9153134226799,133.01423519849777,872.6131744384766,93.20141476392746,0.0
3539,8151,66268,266.0,816.240234375,2607.5244140625,0.5231913924217224,3785.42919921875,0.1344912201166153,4710.0,2.2127597332000732,1130.0,1330.0,1720.0,2170.0,2620.0,3040.0,3320.0,528.0,1610.0,50.89603042602539,10.714882850646973,1.1877820491790771,0.0,True,50420.0,101.83506774902344,110.92984008789062,4226.470826357603,701.1591961085796,3846.009906768799,236.8386867940426,41.78716504573822
3825,8161,96633,92.0,241.44448852539062,762.3616333007812,0.5189419388771057,1137.843017578125,0.04092571139335632,4760.0,0.8497774600982666,1140.0,1390.0,1840.0,2260.0,2700.0,3140.0,3370.0,536.0,1450.0,35.353878021240234,-32.16190719604492,2.1559107303619385,0.0,True,55340.0,55.81393051147461,61.009613037109375,1227.2752076685429,167.9637795984745,1094.4984130859375,76.96286407113075,0.0
3940,8141,65187,125.0,972.535400390625,3222.6103515625,0.5363520383834839,4710.48583984375,0.1715048998594284,4720.0,2.462238073348999,790.0,1040.0,1460.0,1950.0,2420.0,2860.0,3140.0,564.0,1700.0,-36.54201126098633,36.480186462402344,1.370408296585083,0.0,True,53590.0,64.5546646118164,70.1564712524414,4738.260277301073,478.71537831425667,4535.646936416626,126.32751515507698,11.731161117553711
4428,8155,9241,88.0,248.99830627441406,765.6388549804688,0.5091875195503235,1136.4105224609375,0.040847137570381165,4170.0,1.0420054197311401,830.0,1060.0,1410.0,1860.0,2280.0,2790.0,3070.0,527.0,940.0,43.881065368652344,-9.004520416259766,1.148974895477295,0.0,True,55300.00390625,41.72726058959961,45.611087799072266,1135.164588034153,78.76996904611588,1014.6673583984375,77.8494444489479,0.9205245971679688
5672,8170,27455,81.0,462.0773620605469,1483.7230224609375,0.5250515937805176,2007.3927001953125,0.07117273658514023,5300.0,1.5341781377792358,1300.0,1510.0,1960.0,2410.0,2920.0,3360.0,3620.0,566.0,1340.0,-11.562386512756348,-30.771034240722656,1.5096352100372314,0.0,True,53109.99609375,47.209800720214844,50.66756820678711,2322.49565500021,329.16231912374496,2189.631534576416,83.00955194234848,2.6447677612304688
6780,8147,26709,122.0,192.6502685546875,591.3067626953125,0.5085182785987854,890.9937133789062,0.032227423042058945,4250.0,0.6080924868583679,1360.0,1590.0,1940.0,2460.0,2910.0,3280.0,3540.0,537.0,1640.0,-22.47307777404785,49.03718566894531,1.1416475772857666,0.0,True,55150.0,64.44915771484375,70.4521255493164,1253.618393689394,405.8677833378315,1061.0303344726562,104.282456189394,23.8564453125
